age,education.num,capital.gain,hours.per.week,>50k,workclass_Encoded,occupation_Encoded,race_Encoded,native.country_Encoded,marital.status_Encoded
68,14,0,40,1,2,3,4,38,2
26,11,0,45,0,2,0,4,38,2
68,16,0,60,1,5,9,4,38,2
49,9,0,40,1,3,0,4,38,2
36,9,0,60,0,2,9,4,38,2
70,13,0,12,1,4,2,4,38,2
27,10,0,20,0,2,0,2,38,2
35,10,0,40,0,1,3,4,38,2
23,9,0,40,0,2,11,4,38,2
81,9,0,26,1,2,3,4,38,2
66,16,0,25,1,4,11,4,38,2
71,9,0,45,1,2,3,4,38,2
68,10,0,55,1,2,11,4,38,2
52,9,0,40,0,2,11,2,38,2
40,12,0,50,0,3,2,4,38,2
21,10,0,48,0,2,3,4,38,2
35,9,0,40,0,2,2,4,38,2
70,13,0,50,1,3,3,4,38,2
61,9,0,50,0,4,4,4,38,2
65,9,0,65,0,3,4,4,38,2
46,3,0,45,0,2,2,4,38,0
26,13,0,55,0,1,9,4,38,4
59,9,0,40,0,1,4,4,38,6
61,3,0,40,0,2,5,2,38,4
60,13,0,40,0,5,9,4,38,0
49,10,0,50,0,3,3,4,38,0
25,13,0,35,0,2,9,4,38,4
59,9,0,40,0,1,10,2,38,5
28,10,0,40,0,5,3,4,38,5
56,14,0,60,0,4,11,4,38,0
41,9,0,40,0,2,2,4,38,0
42,9,0,40,0,2,0,2,37,4
28,15,0,40,0,2,9,4,1,4
40,15,0,35,0,4,7,4,38,0
69,13,0,40,1,2,9,4,38,6
66,9,0,40,0,1,2,4,38,2
69,3,0,40,0,2,6,4,38,2
55,14,0,40,0,1,9,4,38,2
57,9,0,40,0,0,0,4,38,4
20,10,0,10,0,4,4,4,38,4
33,9,0,84,0,2,2,4,38,0
30,10,0,40,0,4,11,1,34,4
40,13,0,48,0,2,12,1,29,4
38,10,0,55,1,2,6,4,38,5
46,12,0,38,1,5,0,4,38,0
29,13,0,45,1,2,3,4,38,4
57,13,0,40,0,0,0,4,38,4
39,9,0,42,1,2,2,4,38,4
47,13,0,40,1,2,3,4,38,0
26,13,0,45,1,2,3,4,38,4
27,9,0,50,0,4,2,4,38,4
23,13,0,40,1,2,9,4,38,4
34,14,0,50,0,2,9,4,38,4
33,8,0,42,0,2,2,4,38,0
38,14,0,60,0,1,9,4,38,4
57,10,0,38,1,2,0,4,38,6
36,9,0,70,0,2,3,4,38,4
44,13,0,40,1,0,12,4,38,0
49,16,0,50,1,5,3,4,38,4
44,10,0,60,0,3,11,4,38,4
55,10,0,62,1,2,4,4,38,6
45,9,0,44,1,2,4,4,38,0
48,9,0,40,1,2,3,4,38,0
31,13,0,45,1,2,3,4,38,2
55,9,0,40,1,1,9,4,38,2
70,10,0,40,1,4,3,4,38,2
70,14,0,8,1,4,3,4,38,2
73,13,0,40,1,2,9,4,38,2
72,15,0,28,1,4,9,4,38,2
31,9,0,40,0,2,6,4,38,5
28,6,0,35,0,2,0,4,38,6
23,13,0,40,1,4,0,4,38,4
49,5,0,40,1,1,5,4,38,6
27,10,0,40,1,1,10,4,38,4
90,9,0,40,0,2,7,2,38,4
68,9,0,30,0,2,0,4,38,6
65,9,0,59,0,2,0,4,1,0
67,13,0,5,0,2,3,4,38,0
66,13,0,25,0,1,9,2,38,6
24,10,0,24,0,2,0,4,38,4
44,10,0,35,0,4,6,4,38,0
35,10,0,40,0,2,0,4,38,4
20,12,0,18,0,2,7,4,38,4
38,9,0,40,0,2,2,4,38,0
39,10,0,40,0,2,7,2,38,4
32,10,0,40,0,2,6,4,14,4
42,4,0,40,0,2,5,2,38,4
42,14,0,60,1,3,3,1,18,0
64,7,0,40,0,2,2,4,38,2
28,4,0,40,0,2,5,3,32,2
41,11,0,84,0,3,11,3,25,2
41,4,0,40,0,4,2,4,38,2
58,2,0,18,0,4,13,4,38,2
59,10,0,40,0,5,3,4,38,2
34,9,0,12,0,4,4,4,38,2
45,9,0,45,0,2,13,4,38,2
29,9,0,40,0,2,0,4,38,2
47,6,0,52,0,2,11,4,38,2
40,10,0,40,0,2,6,4,38,2
47,3,0,50,0,4,11,4,25,2
41,9,0,40,0,4,5,4,38,2
34,10,0,40,0,2,13,2,38,2
65,10,0,10,1,4,3,4,38,2
70,9,0,40,1,2,5,4,38,2
75,15,0,50,1,4,9,4,38,2
65,9,0,40,1,5,0,4,38,2
65,10,0,40,1,0,3,2,38,2
73,10,0,50,1,2,9,4,38,2
68,11,0,40,0,4,9,4,38,2
74,9,0,20,0,4,11,4,38,2
19,7,0,55,0,4,2,4,38,2
37,9,0,40,0,4,2,4,38,2
45,12,0,40,0,0,0,1,29,0
64,14,0,60,0,2,9,1,2,2
30,9,0,40,0,2,13,4,38,2
51,10,0,60,0,4,9,4,1,2
35,7,0,40,0,2,2,4,38,2
29,9,0,20,0,2,0,4,38,2
34,10,0,40,0,2,0,4,38,2
41,9,0,60,0,2,2,4,38,2
35,10,0,45,0,2,2,4,38,2
26,10,0,40,0,2,0,4,38,2
54,9,0,50,0,2,13,4,38,2
52,9,0,40,0,1,2,4,38,2
50,9,0,20,0,4,4,4,38,2
31,10,0,40,0,2,0,4,38,2
38,9,0,40,0,0,13,4,38,2
30,10,0,40,0,2,2,4,38,2
34,13,0,40,0,1,9,4,38,2
31,10,0,57,0,2,11,4,38,2
52,9,0,38,0,2,6,4,38,2
54,9,0,40,0,2,2,4,38,2
38,9,0,44,0,2,2,4,38,2
39,9,0,40,0,2,6,4,38,2
29,11,0,40,0,2,12,4,38,2
45,9,0,40,0,2,2,4,38,2
34,9,0,55,0,2,13,4,38,2
38,9,0,40,0,2,2,4,30,2
39,6,0,40,0,2,2,4,38,2
61,9,0,20,0,2,2,4,38,2
43,7,0,40,0,2,13,4,38,2
35,10,0,40,0,2,5,4,38,2
46,10,0,50,0,2,11,4,38,2
38,9,0,40,0,2,5,4,38,2
42,9,0,48,0,4,2,4,38,2
34,12,0,10,0,2,12,4,38,2
29,4,0,40,0,2,4,4,38,2
32,7,0,30,0,2,2,4,38,2
60,9,0,34,0,2,10,4,38,2
49,9,0,40,0,1,2,4,38,2
53,9,0,45,0,1,7,4,38,2
56,4,0,40,0,2,5,4,38,2
48,7,0,40,0,2,13,4,38,2
32,13,0,40,0,0,9,1,19,2
42,9,0,40,0,4,2,4,38,2
32,12,0,42,0,2,9,4,38,2
28,12,0,40,0,1,10,4,8,2
26,11,0,40,0,2,2,4,38,2
59,13,0,50,0,2,3,4,38,2
47,13,0,30,0,4,9,4,38,2
41,9,0,60,0,2,2,4,38,2
36,9,0,40,0,2,2,4,38,2
45,13,0,55,0,2,11,4,38,2
30,12,0,40,0,2,9,4,38,2
36,9,0,40,0,2,13,4,38,2
34,9,0,40,0,3,3,4,38,2
53,9,0,40,0,2,13,4,38,2
51,9,0,45,0,2,11,4,38,2
47,16,0,45,0,4,13,4,38,2
30,9,0,42,0,2,0,4,38,4
20,9,0,40,0,2,7,4,38,4
42,14,0,60,0,0,0,4,38,0
31,7,0,40,0,2,2,4,38,4
33,13,0,40,0,2,5,4,38,4
25,12,0,30,0,2,12,4,38,4
20,9,0,40,0,2,7,4,38,4
23,9,0,40,0,2,0,2,38,4
41,10,0,50,0,4,2,4,38,0
54,9,0,35,0,4,2,4,38,6
25,9,0,50,0,2,2,4,38,4
19,10,0,40,0,2,0,4,38,4
24,9,0,37,0,2,0,4,38,4
56,13,0,65,0,0,13,2,38,4
21,10,0,40,0,1,7,4,38,4
34,9,0,40,0,2,6,2,38,4
19,9,0,40,0,2,0,4,38,4
48,9,0,40,0,2,0,4,38,5
34,13,0,40,0,2,7,4,38,4
31,9,0,40,0,2,4,4,38,4
36,9,0,40,0,2,7,2,38,4
27,9,0,40,0,2,7,4,38,4
27,10,0,40,0,2,2,1,29,4
35,13,0,65,0,2,11,4,38,0
31,13,0,60,0,4,3,4,38,3
27,9,0,40,0,0,2,2,38,4
28,12,0,40,0,1,0,4,38,4
42,9,0,46,0,2,13,4,38,0
44,10,0,45,0,2,3,4,8,5
41,13,0,56,0,2,11,4,38,0
28,13,0,35,0,2,12,4,38,4
41,9,0,40,0,0,0,4,38,4
35,6,0,40,0,2,7,2,38,6
58,14,0,45,0,2,0,4,38,0
40,9,0,48,0,2,6,4,38,0
31,11,0,60,0,2,13,4,38,4
30,9,0,40,0,2,11,4,38,4
32,10,0,40,0,2,12,0,38,5
25,10,0,40,0,2,0,4,38,4
34,9,0,40,0,2,13,4,38,4
56,10,0,40,0,2,3,4,38,0
45,9,0,40,0,2,7,4,38,0
50,9,0,40,0,2,0,4,38,4
27,6,0,40,0,2,11,4,38,4
51,10,0,40,1,2,11,4,38,2
40,12,0,60,1,2,12,4,38,2
41,14,0,65,1,2,3,4,38,2
49,14,0,45,1,2,3,4,38,2
37,11,0,40,1,2,2,4,38,2
36,13,0,45,1,3,3,4,38,2
35,15,0,80,1,2,9,4,38,2
29,9,0,25,1,3,11,4,38,2
50,13,0,40,1,2,9,4,38,2
46,13,0,40,1,2,11,4,38,2
44,9,0,45,1,4,3,4,38,2
42,14,0,40,1,1,3,4,38,2
38,15,0,50,1,0,9,4,38,2
45,13,0,55,1,2,3,4,38,2
43,14,0,60,1,1,3,4,38,2
47,15,0,60,1,3,9,4,38,2
58,15,0,50,1,3,9,4,38,2
48,15,0,40,1,2,12,4,38,2
42,13,0,48,1,1,3,4,38,2
55,14,0,50,1,2,3,4,38,2
51,6,0,40,1,2,11,4,38,2
32,14,0,40,1,2,3,2,38,2
45,13,0,50,1,1,3,4,38,2
56,14,0,44,1,2,2,4,38,2
38,14,0,60,1,2,3,4,38,2
45,11,0,50,1,2,11,4,38,2
49,14,0,40,1,2,9,4,38,2
36,9,0,40,1,2,9,4,38,2
49,14,0,40,1,2,3,4,38,2
30,16,0,40,1,2,9,1,2,2
42,15,0,50,1,3,9,4,38,2
55,14,0,40,1,2,3,4,38,2
34,13,0,45,1,2,3,4,38,2
54,16,0,50,1,2,9,4,38,2
42,13,0,70,1,4,3,4,38,2
25,13,0,40,1,1,9,4,38,2
55,9,0,45,1,3,3,4,38,2
58,14,0,50,1,5,9,4,38,2
62,9,0,60,1,2,13,4,38,2
43,15,0,40,1,3,9,4,38,2
57,14,0,40,1,1,9,2,38,2
42,16,0,60,1,3,9,4,38,2
63,13,0,32,1,4,9,1,2,2
47,15,0,50,1,4,9,4,38,2
37,13,0,50,1,2,3,4,38,2
40,13,0,60,1,2,11,4,38,2
43,13,0,50,1,2,9,4,38,2
43,15,0,70,1,5,9,4,38,2
41,15,0,60,1,4,9,4,38,2
32,15,0,60,1,2,9,4,38,2
47,13,0,40,1,2,11,4,38,2
39,10,0,60,1,0,5,4,38,2
53,10,0,40,1,2,3,4,38,2
34,13,0,45,1,2,3,4,38,2
36,13,0,40,1,2,3,4,38,2
47,14,0,41,1,1,3,4,38,2
52,11,0,45,1,2,3,4,38,2
40,15,0,60,1,4,9,0,38,2
42,13,0,40,1,3,9,4,38,2
51,14,0,40,1,2,10,4,38,2
55,14,0,20,1,2,12,4,38,2
38,9,0,99,1,2,11,4,38,2
52,10,0,50,1,2,3,4,38,2
60,9,0,40,1,0,12,4,38,2
55,11,0,50,1,2,9,4,10,2
47,14,0,50,1,1,3,2,38,2
46,14,0,40,1,2,12,4,38,2
35,14,0,45,1,2,9,4,38,2
59,13,0,50,1,3,3,4,38,2
57,14,0,45,1,2,9,4,38,2
46,10,0,50,1,2,9,4,38,2
46,14,0,40,1,0,3,4,38,2
52,9,0,40,1,2,2,4,38,2
45,16,0,30,1,2,9,4,38,2
37,13,0,40,1,2,12,4,38,2
46,14,0,45,1,2,3,4,38,2
44,13,0,50,1,2,9,2,38,2
45,11,0,50,1,2,3,4,38,2
43,9,0,52,1,2,6,4,38,2
54,14,0,40,1,1,9,4,38,2
50,14,0,40,1,2,9,4,38,2
45,13,0,40,1,2,9,4,38,2
36,14,0,60,1,2,9,4,38,2
27,13,0,50,1,2,3,4,38,2
36,13,0,35,1,2,11,4,38,2
53,14,0,55,1,2,3,4,38,2
51,14,0,35,1,1,9,4,38,2
28,13,0,24,1,2,9,4,38,2
47,10,0,40,1,4,2,4,38,2
45,13,0,60,1,2,3,4,38,2
45,14,0,35,1,1,9,4,38,2
39,15,0,50,1,4,9,4,38,2
39,13,0,40,1,2,3,4,38,2
55,14,0,40,1,4,9,4,38,2
62,10,0,98,1,2,3,4,38,2
49,13,0,50,1,2,11,1,34,2
53,14,0,40,1,4,3,4,38,2
31,14,0,48,1,2,3,4,38,2
42,9,0,60,1,3,3,4,21,2
39,13,0,45,1,2,13,4,29,2
60,13,0,45,1,4,3,4,38,2
26,15,0,40,1,2,9,4,38,2
37,14,0,40,1,2,3,4,38,2
45,13,0,60,1,5,3,4,38,2
37,12,0,45,1,2,11,4,38,2
32,13,0,45,1,2,11,4,38,2
39,9,0,40,1,3,3,4,38,2
45,14,0,43,1,2,3,4,38,2
41,13,0,45,1,2,9,4,38,2
36,9,0,65,1,4,4,4,38,2
51,14,0,60,1,5,9,4,38,2
39,10,0,62,1,2,3,4,38,2
56,15,0,50,1,4,9,4,38,2
53,9,0,40,1,0,0,2,38,2
40,11,0,15,1,4,9,4,38,2
57,14,0,40,1,2,3,2,38,2
50,9,0,35,1,1,2,4,38,2
34,15,0,55,1,2,9,4,38,2
35,13,0,30,1,2,3,4,38,2
30,9,0,15,1,4,9,4,38,2
53,14,0,55,1,1,9,4,38,2
31,16,0,70,1,5,9,4,38,2
37,13,0,60,1,2,3,4,38,2
34,13,0,50,1,2,11,4,38,2
36,14,0,50,1,2,9,4,38,2
40,13,0,50,1,2,3,4,38,2
51,10,0,60,1,2,2,4,38,2
33,9,0,45,1,2,11,4,38,2
40,16,0,20,1,2,9,4,38,2
46,14,0,60,1,3,11,4,38,2
54,16,0,50,1,2,3,4,38,2
39,14,0,24,1,2,9,4,38,2
54,10,0,40,1,3,11,4,38,2
31,16,0,99,1,2,9,4,38,2
51,14,0,50,1,2,3,4,38,2
36,14,0,40,1,2,0,4,23,2
41,13,0,60,1,3,3,1,35,2
56,10,0,50,1,4,3,4,38,2
38,13,0,40,1,2,12,4,38,2
47,9,0,45,1,2,2,4,38,2
39,14,0,45,1,1,9,4,38,2
59,13,0,50,1,2,3,4,38,2
54,16,0,43,1,2,3,4,38,2
54,13,0,35,1,4,3,4,38,2
31,13,0,55,1,2,3,4,38,2
59,10,0,48,1,3,3,4,38,2
46,14,0,50,1,2,9,4,38,2
57,16,0,40,1,2,12,4,10,2
36,14,0,44,1,2,9,4,38,2
44,13,0,40,1,2,6,4,38,2
33,15,0,50,1,2,9,4,38,2
54,10,0,18,1,2,12,4,38,2
55,14,0,60,1,2,3,4,38,2
36,14,0,50,1,2,11,4,38,2
49,15,0,60,1,1,9,4,38,2
41,15,0,50,1,2,9,4,38,2
40,16,0,45,1,2,9,1,16,2
43,13,0,50,1,2,3,4,38,2
39,14,0,20,1,1,9,4,38,2
48,15,0,45,1,2,9,4,38,2
43,13,0,50,1,2,3,4,38,2
36,13,0,45,1,2,9,4,38,2
39,14,0,40,0,2,3,4,38,4
21,10,0,40,0,2,9,1,38,4
23,10,0,40,0,2,11,4,38,4
47,9,0,40,0,2,3,4,38,0
30,9,0,40,0,2,0,4,38,4
35,10,0,40,0,2,6,4,38,4
26,10,0,40,0,2,0,4,38,4
26,13,0,55,0,2,3,4,38,4
41,14,0,40,0,1,9,4,38,0
30,10,0,40,0,1,10,2,38,4
28,9,0,40,0,2,2,4,38,5
56,9,0,40,0,2,11,4,38,6
35,9,0,40,0,2,6,4,38,4
34,11,0,40,0,2,12,4,38,4
29,9,0,35,0,2,2,4,38,4
23,12,0,20,0,2,0,4,38,4
24,9,0,40,0,0,0,4,38,4
62,10,0,40,0,2,0,4,38,0
77,10,0,1,0,4,0,4,38,6
47,15,0,60,1,2,9,4,15,2
48,16,0,60,1,4,9,4,38,2
42,15,0,50,1,4,9,4,38,2
31,14,0,40,1,2,12,4,38,2
43,13,0,40,1,2,3,4,8,2
50,16,0,65,1,2,9,4,38,2
36,13,0,50,1,2,9,4,38,2
49,14,0,40,1,1,9,4,38,2
38,9,0,40,1,2,2,4,38,2
48,16,0,46,1,5,9,4,38,2
46,13,0,40,1,2,9,4,38,2
56,9,0,60,1,4,7,4,38,2
37,9,0,45,1,2,3,4,38,2
51,9,0,40,1,2,6,2,38,2
43,14,0,40,1,2,3,4,38,2
46,9,0,40,0,1,2,4,38,2
42,14,0,60,1,1,3,4,38,2
45,10,0,35,1,2,0,4,38,2
23,10,0,40,0,2,6,4,38,2
45,13,0,40,1,2,11,4,38,2
30,9,0,40,0,5,0,4,38,2
49,12,0,40,1,2,11,4,38,2
57,15,0,40,1,2,2,1,29,2
42,13,0,80,1,4,4,4,38,2
43,10,0,40,1,1,0,4,38,2
43,10,0,40,1,2,3,4,38,2
42,15,0,60,1,2,9,4,38,2
53,13,0,55,1,2,3,4,38,2
40,14,0,48,1,1,9,4,38,2
41,13,0,60,1,2,3,4,38,2
49,13,0,40,1,2,2,4,38,2
31,13,0,50,1,4,9,4,32,2
34,14,0,50,1,2,3,4,38,2
40,14,0,40,1,0,12,1,29,2
50,10,0,38,1,2,0,4,38,2
54,9,0,40,1,2,2,1,38,2
49,10,0,50,1,2,0,4,38,2
44,14,0,60,1,4,3,4,38,2
57,13,0,40,1,1,9,4,38,2
28,14,0,55,0,1,9,4,38,2
57,10,0,40,1,2,11,4,38,2
59,13,0,43,1,2,9,4,38,2
38,12,0,40,1,2,3,4,38,2
36,9,0,60,1,4,4,4,38,2
55,10,0,40,1,2,3,4,38,2
34,9,0,60,1,4,11,4,38,2
51,10,0,50,1,2,11,4,38,2
46,9,0,70,1,2,13,4,1,2
33,14,0,45,1,2,3,4,10,2
31,13,0,35,1,5,9,4,38,2
31,13,0,35,1,2,3,4,38,2
59,9,0,52,1,4,3,4,38,2
48,12,0,40,1,2,11,4,38,2
33,13,0,45,1,2,3,4,38,2
46,10,0,50,1,2,2,4,38,2
53,13,0,40,1,2,3,2,38,2
39,14,0,18,1,2,9,4,38,2
44,9,0,40,1,4,9,4,38,2
45,14,0,50,1,2,3,4,38,2
42,13,0,40,1,1,10,4,38,2
24,4,0,40,1,4,13,4,38,2
57,13,0,40,1,2,11,4,38,2
51,13,0,40,1,1,9,4,38,2
50,13,0,40,1,2,3,4,38,2
52,14,0,50,1,2,3,4,11,2
44,10,0,40,1,2,11,1,38,2
47,13,0,45,1,3,3,4,38,2
36,13,0,45,1,2,11,4,38,2
34,10,0,38,1,2,9,4,38,2
49,13,0,50,1,2,3,4,38,2
45,13,0,45,1,2,11,4,38,2
46,13,0,50,1,2,3,4,38,2
53,13,0,48,1,3,3,4,38,2
63,16,0,50,1,5,3,4,38,2
52,13,0,40,1,2,9,4,38,2
44,13,0,40,1,2,3,2,38,2
37,13,0,40,1,2,11,4,38,2
44,16,0,40,1,5,9,4,38,2
53,13,0,40,1,2,9,4,38,2
32,13,0,40,1,2,12,4,38,2
50,16,0,45,1,5,9,4,38,2
42,14,0,40,1,0,9,1,34,2
50,12,0,40,1,2,2,4,38,2
33,13,0,55,1,2,11,4,38,2
50,14,0,40,1,1,9,4,38,2
32,13,0,32,1,2,9,4,38,2
41,9,0,40,1,2,9,4,38,2
54,9,0,55,1,2,3,4,38,2
34,12,0,50,1,2,11,2,38,2
41,13,0,55,1,3,3,4,38,2
39,15,0,50,1,3,9,4,38,2
42,14,0,40,1,0,9,4,38,2
31,13,0,45,1,2,11,4,38,2
45,11,0,42,1,2,9,4,38,2
41,13,0,42,1,2,12,4,38,2
48,14,0,38,1,2,3,4,38,2
32,9,0,55,1,3,4,4,38,2
41,10,0,40,1,2,6,2,38,2
31,13,0,40,1,4,3,4,38,2
30,10,0,40,1,3,3,1,34,2
41,10,0,40,1,2,3,4,38,2
48,14,0,40,1,2,9,4,38,2
60,16,0,40,1,5,9,4,38,2
38,13,0,65,1,4,3,1,38,2
46,3,0,40,0,2,13,0,38,2
28,10,0,55,1,2,11,4,38,2
64,16,0,60,1,3,3,4,38,2
42,14,0,50,1,2,9,4,38,2
43,11,0,32,1,2,12,4,38,2
61,10,0,35,1,3,11,4,38,2
48,16,0,40,1,2,9,1,2,2
46,14,0,45,1,1,3,4,38,2
44,13,0,50,1,2,3,4,38,2
39,10,0,50,1,0,3,4,38,2
46,13,0,40,1,4,11,4,38,2
48,16,0,50,1,2,9,4,38,2
27,7,0,40,1,2,2,4,38,2
22,10,0,37,0,0,11,4,38,2
51,13,0,40,0,0,3,4,38,2
48,10,0,40,1,5,10,4,38,2
52,11,0,40,1,2,2,4,38,2
31,9,0,40,1,4,2,4,38,2
53,13,0,40,1,2,0,4,38,2
51,14,0,60,1,2,9,4,38,2
46,16,0,52,1,1,9,4,38,2
25,10,0,36,1,2,0,2,38,2
46,9,0,40,1,2,2,2,38,2
57,9,0,30,1,3,11,4,38,2
44,13,0,50,1,2,9,4,38,2
42,9,0,50,1,2,13,4,38,2
42,14,0,40,1,2,0,4,38,2
30,13,0,55,1,2,9,4,38,2
54,16,0,50,1,5,3,4,38,2
46,15,0,45,1,4,9,4,38,2
33,13,0,50,1,2,0,4,38,2
38,10,0,50,1,2,3,4,38,2
50,14,0,45,1,2,2,4,38,2
46,7,0,40,1,2,2,4,38,2
41,14,0,35,1,4,11,4,38,2
56,13,0,65,1,2,9,4,38,2
39,13,0,50,1,2,9,4,38,2
46,16,0,50,1,4,9,4,38,2
48,4,0,40,0,1,13,4,38,2
35,16,0,40,1,2,9,1,35,2
56,10,0,60,1,2,2,4,38,2
49,9,0,60,1,3,3,4,38,2
61,15,0,40,1,5,9,4,38,2
43,9,0,40,1,2,2,4,38,2
37,9,0,50,0,2,2,4,38,2
43,13,0,40,1,2,6,4,38,2
41,9,0,40,1,2,11,4,38,2
30,13,0,40,1,2,0,4,38,2
58,10,0,40,1,2,10,4,38,2
40,9,0,40,1,2,9,4,38,2
44,14,0,40,1,5,3,4,38,2
40,13,0,32,1,2,3,4,38,2
58,9,0,40,0,2,2,4,38,2
48,9,0,40,1,4,2,4,38,2
49,9,0,40,0,2,6,4,38,2
50,13,0,50,1,2,3,4,38,2
43,13,0,55,1,2,11,4,38,2
53,9,0,40,1,2,13,4,38,2
42,16,0,50,1,2,9,4,38,2
56,9,0,40,1,3,11,4,38,2
44,13,0,56,1,2,3,4,38,2
29,13,0,50,1,2,9,4,38,2
35,9,0,40,1,2,11,4,38,2
44,9,0,40,1,2,11,4,38,2
34,13,0,48,1,0,10,4,38,2
42,14,0,55,1,2,9,1,18,2
43,13,0,40,1,2,9,4,38,2
57,11,0,45,0,2,9,4,38,2
32,13,0,60,1,2,3,4,38,2
33,13,0,45,1,2,0,4,38,2
43,10,0,15,1,4,3,4,38,2
32,9,0,50,1,2,11,4,38,2
36,9,0,48,1,2,2,4,38,2
50,9,0,60,1,4,11,4,38,2
27,9,0,45,0,2,13,4,38,2
60,15,0,40,1,2,3,4,38,2
53,14,0,50,1,2,3,4,38,2
61,16,0,40,1,5,9,4,38,2
32,13,0,40,1,2,11,4,38,2
52,13,0,60,1,3,3,4,4,2
37,9,0,55,1,2,3,4,38,2
33,9,0,40,1,2,12,4,38,2
57,16,0,40,1,4,11,4,38,2
43,9,0,99,1,2,2,4,38,2
50,9,0,40,1,2,3,4,38,2
43,10,0,40,1,2,2,4,38,2
45,9,0,40,1,2,7,4,38,2
37,9,0,45,1,4,11,4,38,2
31,14,0,43,1,2,9,4,38,2
33,12,0,50,1,2,2,4,38,2
